onset	duration	trial_type
5.0	4.0	audio_speech_real_short_high_simple
10.5	4.0	audio_speech_real_short_high_complex
15.5	4.0	audio_speech_real_long_low_simple
19.5	4.0	audio_speech_pseudo_short_complex
25.5	4.0	audio_speech_real_long_low_complex
31.0	4.0	audio_speech_real_long_high_complex
35.5	4.0	audio_speech_real_long_high_simple
40.5	4.0	audio_speech_real_short_low_complex
45.0	4.0	audio_speech_real_short_low_simple
49.0	4.0	audio_speech_pseudo_long_complex
54.0	4.0	audio_speech_pseudo_long_simple
60.0	4.0	audio_speech_pseudo_short_simple
80.0	4.0	visual_speech_pseudo_short_complex
84.0	4.0	visual_speech_real_long_low_complex
89.5	4.0	visual_speech_real_short_low_complex
95.5	4.0	visual_speech_real_short_high_complex
100.5	4.0	visual_speech_real_long_high_simple
106.0	4.0	visual_speech_real_long_low_simple
110.5	4.0	visual_speech_pseudo_long_simple
115.0	4.0	visual_speech_real_long_high_complex
120.0	4.0	visual_speech_real_short_high_simple
124.0	4.0	visual_speech_real_short_low_simple
129.0	4.0	visual_speech_pseudo_short_simple
134.0	4.0	visual_speech_pseudo_long_complex
155.0	9.0	audio_write_real_long_low_complex
165.0	9.0	audio_write_real_short_high_simple
175.5	9.0	audio_write_real_long_high_complex
185.0	9.0	audio_write_real_short_high_complex
196.0	9.0	audio_write_pseudo_short_complex
206.5	9.0	audio_write_real_short_low_simple
216.0	9.0	audio_write_real_short_low_complex
226.0	9.0	audio_write_pseudo_long_simple
237.0	9.0	audio_write_real_long_low_simple
247.0	9.0	audio_write_real_long_high_simple
257.0	9.0	audio_write_pseudo_short_simple
266.0	9.0	audio_write_pseudo_long_complex
290.0	9.0	visual_write_real_short_low_complex
299.0	9.0	visual_write_real_long_low_complex
308.0	9.0	visual_write_pseudo_long_complex
318.0	9.0	visual_write_real_short_high_simple
329.0	9.0	visual_write_real_short_high_complex
339.5	9.0	visual_write_pseudo_long_simple
350.0	9.0	visual_write_pseudo_short_simple
360.0	9.0	visual_write_real_long_high_simple
369.5	9.0	visual_write_real_short_low_simple
379.5	9.0	visual_write_real_long_low_simple
389.0	9.0	visual_write_pseudo_short_complex
400.0	9.0	visual_write_real_long_high_complex
