onset	duration	trial_type
5.0	4.5	visual_speech_pseudo_long_complex
9.5	5.0	visual_speech_real_short_low_complex
14.5	5.0	visual_speech_pseudo_short_simple
19.5	5.5	visual_speech_real_short_high_complex
25.0	5.0	visual_speech_pseudo_long_simple
30.0	6.0	visual_speech_real_long_high_simple
36.0	4.0	visual_speech_real_long_low_simple
40.0	6.0	visual_speech_real_short_low_simple
46.0	5.0	visual_speech_real_short_high_simple
51.0	4.5	visual_speech_real_long_high_complex
55.5	5.5	visual_speech_real_long_low_complex
61.0	4.0	visual_speech_pseudo_short_complex
80.0	11.0	audio_type_pseudo_long_simple
91.0	9.5	audio_type_pseudo_short_complex
100.5	9.0	audio_type_real_long_low_complex
109.5	10.0	audio_type_real_short_low_simple
119.5	9.0	audio_type_pseudo_short_simple
128.5	10.5	audio_type_pseudo_long_complex
139.0	9.5	audio_type_real_short_high_simple
148.5	10.0	audio_type_real_short_low_complex
158.5	11.0	audio_type_real_short_high_complex
169.5	10.0	audio_type_real_long_high_complex
179.5	10.5	audio_type_real_long_low_simple
190.0	10.0	audio_type_real_long_high_simple
215.0	5.0	audio_speech_pseudo_long_simple
220.0	4.0	audio_speech_real_long_high_simple
224.0	5.5	audio_speech_real_long_high_complex
229.5	5.5	audio_speech_pseudo_short_simple
235.0	5.0	audio_speech_real_short_high_complex
240.0	4.0	audio_speech_real_short_low_complex
244.0	4.5	audio_speech_real_short_high_simple
248.5	6.0	audio_speech_pseudo_long_complex
254.5	5.0	audio_speech_real_long_low_complex
259.5	6.0	audio_speech_pseudo_short_complex
265.5	4.5	audio_speech_real_long_low_simple
270.0	5.0	audio_speech_real_short_low_simple
290.0	10.0	visual_type_real_short_low_simple
300.0	10.5	visual_type_real_short_low_complex
310.5	11.0	visual_type_real_long_high_complex
321.5	10.0	visual_type_pseudo_short_complex
331.5	9.5	visual_type_real_long_low_complex
341.0	11.0	visual_type_real_short_high_simple
352.0	10.5	visual_type_pseudo_long_complex
362.5	10.0	visual_type_pseudo_short_simple
372.5	10.0	visual_type_real_long_low_simple
382.5	9.5	visual_type_real_short_high_complex
392.0	9.0	visual_type_pseudo_long_simple
401.0	9.0	visual_type_real_long_high_simple
