onset	duration	trial_type
5.0	5.0	visual_speech_real_long_low_complex
10.0	6.0	visual_speech_real_long_high_simple
16.0	5.0	visual_speech_real_short_high_simple
21.0	4.5	visual_speech_real_long_low_simple
25.5	4.0	visual_speech_pseudo_short_complex
29.5	6.0	visual_speech_real_long_high_complex
35.5	5.5	visual_speech_pseudo_long_complex
41.0	4.5	visual_speech_real_short_low_complex
45.5	5.0	visual_speech_real_short_high_complex
50.5	5.5	visual_speech_real_short_low_simple
56.0	4.0	visual_speech_pseudo_short_simple
60.0	5.0	visual_speech_pseudo_long_simple
80.0	5.0	audio_speech_real_short_low_simple
85.0	5.0	audio_speech_real_long_high_complex
90.0	5.0	audio_speech_real_short_low_complex
95.0	5.5	audio_speech_pseudo_long_complex
100.5	4.5	audio_speech_pseudo_short_complex
105.0	4.0	audio_speech_real_long_low_complex
109.0	4.5	audio_speech_real_short_high_simple
113.5	5.5	audio_speech_pseudo_long_simple
119.0	4.0	audio_speech_real_short_high_complex
123.0	6.0	audio_speech_pseudo_short_simple
129.0	6.0	audio_speech_real_long_high_simple
135.0	5.0	audio_speech_real_long_low_simple
155.0	10.0	audio_type_real_long_high_simple
165.0	10.0	audio_type_pseudo_long_complex
175.0	11.0	audio_type_real_long_low_simple
186.0	11.0	audio_type_real_long_high_complex
197.0	9.5	audio_type_pseudo_short_complex
206.5	10.5	audio_type_real_short_high_simple
217.0	10.0	audio_type_pseudo_long_simple
227.0	10.0	audio_type_real_short_high_complex
237.0	10.5	audio_type_real_short_low_simple
247.5	9.5	audio_type_real_long_low_complex
257.0	9.0	audio_type_real_short_low_complex
266.0	9.0	audio_type_pseudo_short_simple
290.0	10.0	visual_type_real_short_high_simple
300.0	9.5	visual_type_pseudo_short_complex
309.5	10.0	visual_type_real_short_low_simple
319.5	10.5	visual_type_real_short_high_complex
330.0	10.5	visual_type_pseudo_long_simple
340.5	10.0	visual_type_real_long_high_simple
350.5	9.0	visual_type_pseudo_long_complex
359.5	11.0	visual_type_pseudo_short_simple
370.5	11.0	visual_type_real_long_low_simple
381.5	9.5	visual_type_real_short_low_complex
391.0	10.0	visual_type_real_long_low_complex
401.0	9.0	visual_type_real_long_high_complex
