onset	duration	trial_type
5.0	4.0	visual_speech_real_short_high_complex
10.0	4.0	visual_speech_real_long_high_complex
15.0	4.0	visual_speech_real_long_low_complex
20.0	4.0	visual_speech_real_short_low_simple
26.0	4.0	visual_speech_real_short_high_simple
30.5	4.0	visual_speech_real_long_low_simple
36.0	4.0	visual_speech_pseudo_long_complex
41.0	4.0	visual_speech_pseudo_short_simple
45.0	4.0	visual_speech_pseudo_short_complex
49.5	4.0	visual_speech_real_long_high_simple
53.5	4.0	visual_speech_pseudo_long_simple
59.5	4.0	visual_speech_real_short_low_complex
80.0	4.0	audio_speech_real_short_high_complex
84.5	4.0	audio_speech_pseudo_short_simple
90.0	4.0	audio_speech_real_long_high_simple
94.5	4.0	audio_speech_pseudo_long_simple
100.5	4.0	audio_speech_real_short_high_simple
105.5	4.0	audio_speech_real_short_low_complex
109.5	4.0	audio_speech_real_long_low_simple
115.5	4.0	audio_speech_real_long_high_complex
120.5	4.0	audio_speech_pseudo_long_complex
125.5	4.0	audio_speech_real_long_low_complex
129.5	4.0	audio_speech_pseudo_short_complex
134.5	4.0	audio_speech_real_short_low_simple
155.0	9.0	audio_write_real_long_low_simple
164.0	9.0	audio_write_real_short_low_simple
174.0	9.0	audio_write_pseudo_long_complex
184.0	9.0	audio_write_real_short_high_simple
195.0	9.0	audio_write_pseudo_short_simple
205.0	9.0	audio_write_pseudo_long_simple
215.5	9.0	audio_write_real_long_high_complex
225.5	9.0	audio_write_real_long_low_complex
235.0	9.0	audio_write_real_short_high_complex
245.5	9.0	audio_write_real_long_high_simple
255.0	9.0	audio_write_pseudo_short_complex
264.0	9.0	audio_write_real_short_low_complex
290.0	9.0	visual_write_real_short_low_simple
300.5	9.0	visual_write_pseudo_long_complex
310.5	9.0	visual_write_real_long_low_complex
319.5	9.0	visual_write_real_short_high_simple
329.5	9.0	visual_write_real_short_low_complex
339.5	9.0	visual_write_pseudo_short_simple
349.0	9.0	visual_write_real_short_high_complex
359.0	9.0	visual_write_pseudo_long_simple
368.5	9.0	visual_write_real_long_high_complex
377.5	9.0	visual_write_pseudo_short_complex
388.0	9.0	visual_write_real_long_low_simple
399.0	9.0	visual_write_real_long_high_simple
