onset	duration	trial_type
5.0	9.0	audio_write_real_short_low_complex
14.0	9.0	audio_write_real_long_high_simple
23.0	11.0	audio_write_real_short_high_complex
34.0	10.0	audio_write_real_long_high_complex
44.0	9.5	audio_write_pseudo_long_simple
53.5	10.5	audio_write_pseudo_short_complex
64.0	10.0	audio_write_real_long_low_simple
74.0	9.5	audio_write_real_short_low_simple
83.5	10.0	audio_write_real_short_high_simple
93.5	10.0	audio_write_pseudo_short_simple
103.5	11.0	audio_write_pseudo_long_complex
114.5	10.5	audio_write_real_long_low_complex
140.0	5.0	audio_speech_real_short_high_complex
145.0	5.5	audio_speech_real_short_low_simple
150.5	6.0	audio_speech_real_long_low_simple
156.5	4.5	audio_speech_pseudo_long_simple
161.0	5.5	audio_speech_real_long_high_simple
166.5	6.0	audio_speech_real_long_low_complex
172.5	4.0	audio_speech_real_long_high_complex
176.5	5.0	audio_speech_pseudo_short_complex
181.5	4.0	audio_speech_real_short_low_complex
185.5	5.0	audio_speech_pseudo_long_complex
190.5	4.5	audio_speech_pseudo_short_simple
195.0	5.0	audio_speech_real_short_high_simple
215.0	10.5	visual_write_real_long_low_complex
225.5	9.5	visual_write_real_long_high_complex
235.0	9.5	visual_write_real_long_low_simple
244.5	11.0	visual_write_real_short_high_simple
255.5	9.0	visual_write_pseudo_short_simple
264.5	10.0	visual_write_pseudo_long_simple
274.5	10.0	visual_write_real_short_high_complex
284.5	10.0	visual_write_real_long_high_simple
294.5	10.0	visual_write_pseudo_long_complex
304.5	10.5	visual_write_pseudo_short_complex
315.0	9.0	visual_write_real_short_low_simple
324.0	11.0	visual_write_real_short_low_complex
350.0	5.0	visual_speech_pseudo_short_simple
355.0	4.5	visual_speech_pseudo_short_complex
359.5	6.0	visual_speech_real_long_high_complex
365.5	6.0	visual_speech_real_short_low_simple
371.5	5.0	visual_speech_real_short_high_complex
376.5	5.5	visual_speech_pseudo_long_complex
382.0	5.0	visual_speech_real_long_low_complex
387.0	4.0	visual_speech_real_long_high_simple
391.0	4.0	visual_speech_real_short_low_complex
395.0	5.5	visual_speech_real_long_low_simple
400.5	4.5	visual_speech_pseudo_long_simple
405.0	5.0	visual_speech_real_short_high_simple
