onset	duration	trial_type
5.0	9.0	audio_write_pseudo_long_complex
15.5	9.0	audio_write_real_long_low_complex
25.5	9.0	audio_write_pseudo_short_complex
36.0	9.0	audio_write_real_short_low_simple
45.0	9.0	audio_write_real_short_high_complex
54.0	9.0	audio_write_pseudo_short_simple
64.0	9.0	audio_write_real_long_high_simple
73.5	9.0	audio_write_real_long_high_complex
84.5	9.0	audio_write_real_short_low_complex
95.5	9.0	audio_write_real_short_high_simple
105.5	9.0	audio_write_real_long_low_simple
115.0	9.0	audio_write_pseudo_long_simple
140.0	4.0	audio_speech_pseudo_long_simple
144.5	4.0	audio_speech_real_long_low_simple
149.5	4.0	audio_speech_real_long_high_simple
154.5	4.0	audio_speech_real_short_low_simple
160.0	4.0	audio_speech_real_long_high_complex
164.0	4.0	audio_speech_real_long_low_complex
169.5	4.0	audio_speech_real_short_high_simple
174.5	4.0	audio_speech_pseudo_short_complex
178.5	4.0	audio_speech_pseudo_long_complex
183.5	4.0	audio_speech_real_short_low_complex
189.5	4.0	audio_speech_pseudo_short_simple
195.5	4.0	audio_speech_real_short_high_complex
215.0	9.0	visual_write_real_long_low_simple
224.0	9.0	visual_write_pseudo_long_simple
234.5	9.0	visual_write_pseudo_short_simple
244.5	9.0	visual_write_pseudo_short_complex
254.5	9.0	visual_write_real_long_high_complex
265.0	9.0	visual_write_real_short_low_complex
276.0	9.0	visual_write_pseudo_long_complex
286.0	9.0	visual_write_real_long_low_complex
295.5	9.0	visual_write_real_short_high_complex
305.5	9.0	visual_write_real_long_high_simple
315.0	9.0	visual_write_real_short_high_simple
324.0	9.0	visual_write_real_short_low_simple
350.0	4.0	visual_speech_real_long_low_simple
355.0	4.0	visual_speech_pseudo_long_simple
359.5	4.0	visual_speech_real_short_low_complex
365.5	4.0	visual_speech_real_long_low_complex
370.5	4.0	visual_speech_real_long_high_simple
375.5	4.0	visual_speech_pseudo_short_complex
380.0	4.0	visual_speech_real_long_high_complex
385.0	4.0	visual_speech_real_short_low_simple
390.5	4.0	visual_speech_real_short_high_simple
394.5	4.0	visual_speech_pseudo_short_simple
400.0	4.0	visual_speech_real_short_high_complex
406.0	4.0	visual_speech_pseudo_long_complex
