onset	duration	trial_type
5.0	4.0	audio_speech_real_long_high_complex
10.0	4.0	audio_speech_real_long_high_simple
14.0	4.0	audio_speech_real_short_high_simple
19.5	4.0	audio_speech_pseudo_long_simple
25.5	4.0	audio_speech_real_short_low_simple
31.5	4.0	audio_speech_pseudo_short_complex
35.5	4.0	audio_speech_real_long_low_simple
41.0	4.0	audio_speech_pseudo_long_complex
46.0	4.0	audio_speech_real_short_high_complex
50.5	4.0	audio_speech_real_short_low_complex
55.5	4.0	audio_speech_pseudo_short_simple
60.5	4.0	audio_speech_real_long_low_complex
80.0	4.0	visual_speech_real_short_low_complex
86.0	4.0	visual_speech_real_long_high_simple
90.0	4.0	visual_speech_real_long_low_complex
95.0	4.0	visual_speech_real_long_low_simple
99.5	4.0	visual_speech_pseudo_long_complex
105.5	4.0	visual_speech_real_long_high_complex
110.5	4.0	visual_speech_real_short_low_simple
116.0	4.0	visual_speech_pseudo_short_complex
121.0	4.0	visual_speech_pseudo_long_simple
126.0	4.0	visual_speech_pseudo_short_simple
130.0	4.0	visual_speech_real_short_high_complex
134.5	4.0	visual_speech_real_short_high_simple
155.0	9.0	visual_write_real_long_low_complex
165.0	9.0	visual_write_real_short_low_complex
176.0	9.0	visual_write_pseudo_short_complex
186.0	9.0	visual_write_real_long_low_simple
196.0	9.0	visual_write_pseudo_long_simple
205.5	9.0	visual_write_real_long_high_simple
214.5	9.0	visual_write_pseudo_short_simple
224.5	9.0	visual_write_real_short_low_simple
235.0	9.0	visual_write_real_short_high_complex
244.5	9.0	visual_write_real_long_high_complex
255.5	9.0	visual_write_real_short_high_simple
266.0	9.0	visual_write_pseudo_long_complex
290.0	9.0	audio_write_pseudo_short_complex
300.5	9.0	audio_write_real_short_low_simple
310.0	9.0	audio_write_pseudo_short_simple
320.0	9.0	audio_write_real_short_low_complex
330.5	9.0	audio_write_real_long_low_simple
340.5	9.0	audio_write_pseudo_long_simple
349.5	9.0	audio_write_real_short_high_simple
359.5	9.0	audio_write_real_long_high_complex
369.0	9.0	audio_write_real_long_low_complex
380.0	9.0	audio_write_pseudo_long_complex
390.0	9.0	audio_write_real_long_high_simple
399.0	9.0	audio_write_real_short_high_complex
