onset	duration	trial_type
5.0	9.0	visual_type_real_long_low_complex
14.5	9.0	visual_type_pseudo_short_complex
24.5	9.0	visual_type_real_short_low_complex
34.5	9.0	visual_type_real_short_high_simple
44.5	9.0	visual_type_real_long_high_complex
55.0	9.0	visual_type_pseudo_short_simple
66.0	9.0	visual_type_pseudo_long_complex
75.5	9.0	visual_type_real_long_high_simple
86.5	9.0	visual_type_real_short_high_complex
95.5	9.0	visual_type_real_short_low_simple
105.5	9.0	visual_type_pseudo_long_simple
116.0	9.0	visual_type_real_long_low_simple
140.0	4.0	visual_speech_real_long_high_simple
145.5	4.0	visual_speech_real_long_high_complex
150.5	4.0	visual_speech_pseudo_long_simple
156.0	4.0	visual_speech_real_short_high_complex
160.5	4.0	visual_speech_pseudo_short_simple
165.0	4.0	visual_speech_real_short_high_simple
171.0	4.0	visual_speech_pseudo_long_complex
176.0	4.0	visual_speech_real_short_low_simple
181.0	4.0	visual_speech_real_long_low_complex
186.0	4.0	visual_speech_real_long_low_simple
190.0	4.0	visual_speech_pseudo_short_complex
194.0	4.0	visual_speech_real_short_low_complex
215.0	4.0	audio_speech_real_short_high_complex
219.0	4.0	audio_speech_pseudo_long_complex
224.5	4.0	audio_speech_real_long_low_simple
229.5	4.0	audio_speech_real_long_high_simple
234.5	4.0	audio_speech_real_long_low_complex
239.0	4.0	audio_speech_real_short_low_complex
245.0	4.0	audio_speech_real_long_high_complex
250.0	4.0	audio_speech_pseudo_short_complex
254.5	4.0	audio_speech_real_short_high_simple
260.0	4.0	audio_speech_real_short_low_simple
266.0	4.0	audio_speech_pseudo_short_simple
271.0	4.0	audio_speech_pseudo_long_simple
290.0	9.0	audio_type_real_short_low_simple
301.0	9.0	audio_type_pseudo_long_complex
310.0	9.0	audio_type_real_long_high_simple
321.0	9.0	audio_type_pseudo_short_complex
330.5	9.0	audio_type_pseudo_short_simple
340.5	9.0	audio_type_real_short_high_complex
351.0	9.0	audio_type_real_long_low_complex
361.5	9.0	audio_type_real_long_low_simple
371.0	9.0	audio_type_pseudo_long_simple
381.0	9.0	audio_type_real_short_low_complex
391.0	9.0	audio_type_real_short_high_simple
400.0	9.0	audio_type_real_long_high_complex
