onset	duration	trial_type
5.0	10.0	audio_type_real_long_high_complex
15.0	11.0	audio_type_real_short_low_complex
26.0	9.5	audio_type_pseudo_short_complex
35.5	9.5	audio_type_pseudo_long_simple
45.0	10.0	audio_type_pseudo_long_complex
55.0	10.5	audio_type_pseudo_short_simple
65.5	11.0	audio_type_real_long_low_complex
76.5	9.0	audio_type_real_short_high_simple
85.5	10.5	audio_type_real_short_low_simple
96.0	9.0	audio_type_real_short_high_complex
105.0	10.0	audio_type_real_long_low_simple
115.0	10.0	audio_type_real_long_high_simple
140.0	4.0	visual_speech_real_long_high_simple
144.0	5.0	visual_speech_pseudo_long_complex
149.0	4.0	visual_speech_real_short_low_simple
153.0	5.0	visual_speech_real_long_high_complex
158.0	4.5	visual_speech_real_short_high_complex
162.5	5.0	visual_speech_pseudo_long_simple
167.5	5.0	visual_speech_pseudo_short_complex
172.5	6.0	visual_speech_real_short_low_complex
178.5	6.0	visual_speech_pseudo_short_simple
184.5	5.5	visual_speech_real_long_low_complex
190.0	5.5	visual_speech_real_long_low_simple
195.5	4.5	visual_speech_real_short_high_simple
215.0	10.0	visual_type_real_short_high_complex
225.0	10.0	visual_type_real_long_high_simple
235.0	9.5	visual_type_real_long_high_complex
244.5	10.0	visual_type_real_short_high_simple
254.5	11.0	visual_type_pseudo_short_complex
265.5	9.0	visual_type_real_short_low_complex
274.5	9.5	visual_type_real_long_low_simple
284.0	10.0	visual_type_pseudo_long_complex
294.0	10.5	visual_type_real_long_low_complex
304.5	11.0	visual_type_real_short_low_simple
315.5	9.0	visual_type_pseudo_long_simple
324.5	10.5	visual_type_pseudo_short_simple
350.0	4.5	audio_speech_real_long_high_simple
354.5	4.5	audio_speech_real_long_low_complex
359.0	5.0	audio_speech_real_long_low_simple
364.0	6.0	audio_speech_real_short_low_simple
370.0	4.0	audio_speech_real_short_low_complex
374.0	6.0	audio_speech_pseudo_long_complex
380.0	5.0	audio_speech_real_short_high_complex
385.0	5.0	audio_speech_pseudo_short_complex
390.0	5.5	audio_speech_real_long_high_complex
395.5	5.5	audio_speech_pseudo_long_simple
401.0	5.0	audio_speech_pseudo_short_simple
406.0	4.0	audio_speech_real_short_high_simple
