onset	duration	trial_type
5.0	10.0	visual_type_real_long_low_simple
15.0	11.0	visual_type_real_short_high_complex
26.0	9.5	visual_type_real_short_low_complex
35.5	11.0	visual_type_real_long_high_simple
46.5	9.0	visual_type_pseudo_short_complex
55.5	9.5	visual_type_pseudo_long_simple
65.0	9.0	visual_type_real_short_high_simple
74.0	10.5	visual_type_real_short_low_simple
84.5	10.5	visual_type_pseudo_long_complex
95.0	10.0	visual_type_pseudo_short_simple
105.0	10.0	visual_type_real_long_low_complex
115.0	10.0	visual_type_real_long_high_complex
140.0	11.0	audio_type_real_short_low_complex
151.0	10.0	audio_type_real_short_high_simple
161.0	10.0	audio_type_pseudo_long_simple
171.0	9.0	audio_type_pseudo_short_complex
180.0	9.0	audio_type_pseudo_long_complex
189.0	9.5	audio_type_real_long_high_simple
198.5	9.5	audio_type_real_long_high_complex
208.0	10.0	audio_type_real_short_low_simple
218.0	11.0	audio_type_real_long_low_complex
229.0	10.5	audio_type_real_short_high_complex
239.5	10.0	audio_type_real_long_low_simple
249.5	10.5	audio_type_pseudo_short_simple
275.0	6.0	visual_speech_real_long_high_complex
281.0	5.0	visual_speech_real_long_high_simple
286.0	4.0	visual_speech_pseudo_long_complex
290.0	4.5	visual_speech_pseudo_long_simple
294.5	5.0	visual_speech_real_long_low_simple
299.5	5.0	visual_speech_real_short_low_complex
304.5	5.0	visual_speech_real_short_high_simple
309.5	4.0	visual_speech_pseudo_short_complex
313.5	5.5	visual_speech_real_short_low_simple
319.0	6.0	visual_speech_real_long_low_complex
325.0	4.5	visual_speech_real_short_high_complex
329.5	5.5	visual_speech_pseudo_short_simple
350.0	4.0	audio_speech_pseudo_long_simple
354.0	5.0	audio_speech_real_short_low_simple
359.0	5.5	audio_speech_real_short_low_complex
364.5	5.5	audio_speech_real_long_low_complex
370.0	4.5	audio_speech_pseudo_short_complex
374.5	4.5	audio_speech_real_long_high_complex
379.0	6.0	audio_speech_real_long_low_simple
385.0	4.0	audio_speech_pseudo_short_simple
389.0	6.0	audio_speech_real_long_high_simple
395.0	5.0	audio_speech_pseudo_long_complex
400.0	5.0	audio_speech_real_short_high_complex
405.0	5.0	audio_speech_real_short_high_simple
