onset	duration	trial_type
5.0	9.0	visual_write_pseudo_short_simple
14.0	9.0	visual_write_pseudo_long_simple
24.0	9.0	visual_write_pseudo_short_complex
34.0	9.0	visual_write_real_long_high_complex
44.0	9.0	visual_write_real_long_high_simple
53.5	9.0	visual_write_real_long_low_complex
63.0	9.0	visual_write_real_short_high_simple
73.5	9.0	visual_write_real_long_low_simple
82.5	9.0	visual_write_real_short_high_complex
93.0	9.0	visual_write_real_short_low_complex
104.0	9.0	visual_write_real_short_low_simple
115.0	9.0	visual_write_pseudo_long_complex
140.0	9.0	audio_write_real_short_low_simple
150.0	9.0	audio_write_real_long_high_complex
160.0	9.0	audio_write_real_long_high_simple
170.5	9.0	audio_write_real_short_high_simple
180.0	9.0	audio_write_real_short_high_complex
190.0	9.0	audio_write_pseudo_long_complex
201.0	9.0	audio_write_real_long_low_simple
211.0	9.0	audio_write_real_long_low_complex
220.0	9.0	audio_write_pseudo_long_simple
230.5	9.0	audio_write_pseudo_short_complex
240.0	9.0	audio_write_pseudo_short_simple
249.0	9.0	audio_write_real_short_low_complex
275.0	4.0	visual_speech_pseudo_long_simple
280.0	4.0	visual_speech_pseudo_long_complex
286.0	4.0	visual_speech_real_short_low_complex
290.0	4.0	visual_speech_pseudo_short_simple
294.5	4.0	visual_speech_real_long_high_simple
299.5	4.0	visual_speech_real_long_low_simple
305.0	4.0	visual_speech_real_long_low_complex
310.0	4.0	visual_speech_real_short_low_simple
316.0	4.0	visual_speech_real_short_high_complex
320.0	4.0	visual_speech_real_short_high_simple
325.0	4.0	visual_speech_pseudo_short_complex
329.5	4.0	visual_speech_real_long_high_complex
350.0	4.0	audio_speech_real_short_high_complex
354.0	4.0	audio_speech_real_long_high_complex
359.0	4.0	audio_speech_pseudo_long_complex
363.0	4.0	audio_speech_real_long_high_simple
368.5	4.0	audio_speech_pseudo_long_simple
373.5	4.0	audio_speech_real_long_low_complex
378.5	4.0	audio_speech_real_long_low_simple
383.5	4.0	audio_speech_pseudo_short_complex
389.5	4.0	audio_speech_pseudo_short_simple
394.0	4.0	audio_speech_real_short_low_simple
399.5	4.0	audio_speech_real_short_high_simple
405.5	4.0	audio_speech_real_short_low_complex
