onset	duration	trial_type
5.0	10.5	visual_type_real_long_low_complex
15.5	10.0	visual_type_real_long_high_complex
25.5	9.0	visual_type_pseudo_short_complex
34.5	9.5	visual_type_real_short_high_simple
44.0	9.0	visual_type_real_short_high_complex
53.0	11.0	visual_type_pseudo_long_complex
64.0	11.0	visual_type_pseudo_short_simple
75.0	10.5	visual_type_real_short_low_simple
85.5	10.0	visual_type_pseudo_long_simple
95.5	10.0	visual_type_real_short_low_complex
105.5	9.5	visual_type_real_long_high_simple
115.0	10.0	visual_type_real_long_low_simple
140.0	4.5	audio_speech_pseudo_short_complex
144.5	4.0	audio_speech_real_short_high_simple
148.5	5.0	audio_speech_pseudo_long_simple
153.5	4.5	audio_speech_real_long_high_simple
158.0	4.0	audio_speech_real_short_high_complex
162.0	6.0	audio_speech_real_short_low_simple
168.0	5.0	audio_speech_real_long_high_complex
173.0	5.5	audio_speech_real_long_low_simple
178.5	5.0	audio_speech_pseudo_long_complex
183.5	5.5	audio_speech_real_long_low_complex
189.0	6.0	audio_speech_pseudo_short_simple
195.0	5.0	audio_speech_real_short_low_complex
215.0	10.0	audio_type_real_long_high_simple
225.0	10.0	audio_type_pseudo_short_simple
235.0	10.0	audio_type_real_short_high_complex
245.0	9.5	audio_type_real_short_low_complex
254.5	9.0	audio_type_pseudo_long_complex
263.5	9.0	audio_type_real_short_high_simple
272.5	11.0	audio_type_real_long_low_simple
283.5	10.5	audio_type_real_short_low_simple
294.0	10.5	audio_type_pseudo_short_complex
304.5	10.0	audio_type_real_long_high_complex
314.5	11.0	audio_type_pseudo_long_simple
325.5	9.5	audio_type_real_long_low_complex
350.0	4.5	visual_speech_pseudo_short_simple
354.5	6.0	visual_speech_real_short_low_simple
360.5	5.0	visual_speech_pseudo_long_simple
365.5	5.0	visual_speech_real_long_low_simple
370.5	5.5	visual_speech_pseudo_short_complex
376.0	4.0	visual_speech_real_long_high_complex
380.0	5.0	visual_speech_real_short_high_simple
385.0	5.0	visual_speech_real_long_high_simple
390.0	5.5	visual_speech_real_short_high_complex
395.5	6.0	visual_speech_pseudo_long_complex
401.5	4.0	visual_speech_real_short_low_complex
405.5	4.5	visual_speech_real_long_low_complex
