onset	duration	trial_type
5.0	9.0	visual_type_pseudo_short_complex
15.5	9.0	visual_type_pseudo_long_complex
26.5	9.0	visual_type_real_long_low_complex
35.5	9.0	visual_type_real_short_low_simple
45.5	9.0	visual_type_real_short_low_complex
55.5	9.0	visual_type_real_long_high_simple
65.0	9.0	visual_type_pseudo_long_simple
74.0	9.0	visual_type_real_short_high_simple
84.0	9.0	visual_type_real_long_high_complex
93.5	9.0	visual_type_real_short_high_complex
104.5	9.0	visual_type_pseudo_short_simple
114.5	9.0	visual_type_real_long_low_simple
140.0	4.0	visual_speech_pseudo_short_complex
144.5	4.0	visual_speech_real_long_low_simple
149.5	4.0	visual_speech_real_short_high_simple
155.0	4.0	visual_speech_real_long_low_complex
159.5	4.0	visual_speech_pseudo_long_simple
164.5	4.0	visual_speech_real_short_low_simple
168.5	4.0	visual_speech_pseudo_short_simple
173.5	4.0	visual_speech_real_long_high_complex
179.0	4.0	visual_speech_real_short_low_complex
183.0	4.0	visual_speech_real_short_high_complex
189.0	4.0	visual_speech_pseudo_long_complex
195.0	4.0	visual_speech_real_long_high_simple
215.0	4.0	audio_speech_real_short_high_simple
219.0	4.0	audio_speech_pseudo_short_simple
224.0	4.0	audio_speech_real_long_high_complex
228.5	4.0	audio_speech_pseudo_long_complex
233.5	4.0	audio_speech_pseudo_long_simple
237.5	4.0	audio_speech_real_long_low_simple
242.5	4.0	audio_speech_real_short_high_complex
247.5	4.0	audio_speech_pseudo_short_complex
252.0	4.0	audio_speech_real_long_high_simple
258.0	4.0	audio_speech_real_long_low_complex
263.5	4.0	audio_speech_real_short_low_simple
269.0	4.0	audio_speech_real_short_low_complex
290.0	9.0	audio_type_real_short_low_simple
299.5	9.0	audio_type_real_long_low_simple
308.5	9.0	audio_type_real_long_high_complex
319.5	9.0	audio_type_pseudo_long_simple
329.5	9.0	audio_type_real_short_high_simple
340.5	9.0	audio_type_real_long_low_complex
350.5	9.0	audio_type_pseudo_long_complex
361.0	9.0	audio_type_real_long_high_simple
371.5	9.0	audio_type_real_short_high_complex
381.0	9.0	audio_type_real_short_low_complex
391.0	9.0	audio_type_pseudo_short_simple
401.0	9.0	audio_type_pseudo_short_complex
