onset	duration	trial_type
5.0	4.0	visual_speech_pseudo_short_simple
9.5	4.0	visual_speech_pseudo_short_complex
14.5	4.0	visual_speech_real_short_low_simple
18.5	4.0	visual_speech_real_short_high_simple
24.5	4.0	visual_speech_real_short_high_complex
30.0	4.0	visual_speech_real_long_low_simple
36.0	4.0	visual_speech_real_long_high_simple
41.0	4.0	visual_speech_pseudo_long_simple
45.0	4.0	visual_speech_pseudo_long_complex
50.0	4.0	visual_speech_real_short_low_complex
54.5	4.0	visual_speech_real_long_low_complex
59.5	4.0	visual_speech_real_long_high_complex
80.0	4.0	audio_speech_pseudo_short_simple
85.0	4.0	audio_speech_real_long_high_complex
90.0	4.0	audio_speech_pseudo_short_complex
95.5	4.0	audio_speech_real_short_low_simple
100.0	4.0	audio_speech_real_long_low_simple
105.0	4.0	audio_speech_pseudo_long_complex
109.5	4.0	audio_speech_real_short_high_simple
114.5	4.0	audio_speech_real_short_high_complex
118.5	4.0	audio_speech_pseudo_long_simple
122.5	4.0	audio_speech_real_long_low_complex
128.5	4.0	audio_speech_real_long_high_simple
134.5	4.0	audio_speech_real_short_low_complex
155.0	9.0	visual_write_pseudo_short_complex
164.5	9.0	visual_write_real_short_low_simple
173.5	9.0	visual_write_real_short_low_complex
184.0	9.0	visual_write_pseudo_long_complex
193.0	9.0	visual_write_pseudo_long_simple
203.0	9.0	visual_write_real_short_high_complex
213.0	9.0	visual_write_real_long_high_simple
223.0	9.0	visual_write_real_long_low_simple
234.0	9.0	visual_write_real_long_high_complex
244.0	9.0	visual_write_real_long_low_complex
254.5	9.0	visual_write_real_short_high_simple
265.5	9.0	visual_write_pseudo_short_simple
290.0	9.0	audio_write_real_short_low_complex
300.0	9.0	audio_write_real_long_high_complex
310.5	9.0	audio_write_real_long_high_simple
319.5	9.0	audio_write_pseudo_long_complex
328.5	9.0	audio_write_real_short_low_simple
339.5	9.0	audio_write_pseudo_short_complex
350.5	9.0	audio_write_real_long_low_complex
360.5	9.0	audio_write_pseudo_long_simple
371.0	9.0	audio_write_pseudo_short_simple
381.0	9.0	audio_write_real_long_low_simple
390.5	9.0	audio_write_real_short_high_complex
400.0	9.0	audio_write_real_short_high_simple
