onset	duration	trial_type
5.0	4.0	audio_speech_real_long_low_complex
10.0	4.0	audio_speech_real_short_high_simple
15.0	4.0	audio_speech_real_short_low_complex
21.0	4.0	audio_speech_pseudo_short_simple
27.0	4.0	audio_speech_pseudo_long_simple
32.5	4.0	audio_speech_real_long_low_simple
36.5	4.0	audio_speech_pseudo_long_complex
41.0	4.0	audio_speech_real_short_low_simple
46.5	4.0	audio_speech_real_short_high_complex
51.5	4.0	audio_speech_real_long_high_complex
56.5	4.0	audio_speech_pseudo_short_complex
61.0	4.0	audio_speech_real_long_high_simple
80.0	9.0	audio_type_real_long_low_simple
90.0	9.0	audio_type_pseudo_short_simple
100.5	9.0	audio_type_real_long_high_simple
111.5	9.0	audio_type_pseudo_long_simple
122.5	9.0	audio_type_real_short_high_complex
131.5	9.0	audio_type_pseudo_long_complex
142.0	9.0	audio_type_real_long_high_complex
151.5	9.0	audio_type_pseudo_short_complex
161.5	9.0	audio_type_real_short_low_complex
171.0	9.0	audio_type_real_long_low_complex
180.0	9.0	audio_type_real_short_high_simple
190.0	9.0	audio_type_real_short_low_simple
215.0	9.0	visual_type_pseudo_short_simple
224.5	9.0	visual_type_real_long_high_simple
235.5	9.0	visual_type_pseudo_long_simple
245.5	9.0	visual_type_real_short_low_simple
254.5	9.0	visual_type_real_short_low_complex
265.0	9.0	visual_type_pseudo_short_complex
275.0	9.0	visual_type_real_long_low_complex
285.0	9.0	visual_type_real_short_high_simple
295.0	9.0	visual_type_real_short_high_complex
306.0	9.0	visual_type_real_long_low_simple
315.0	9.0	visual_type_real_long_high_complex
324.5	9.0	visual_type_pseudo_long_complex
350.0	4.0	visual_speech_real_short_low_simple
354.0	4.0	visual_speech_real_short_low_complex
359.5	4.0	visual_speech_pseudo_long_simple
364.0	4.0	visual_speech_real_long_low_simple
368.5	4.0	visual_speech_real_short_high_simple
373.5	4.0	visual_speech_pseudo_long_complex
378.5	4.0	visual_speech_pseudo_short_complex
384.5	4.0	visual_speech_real_short_high_complex
388.5	4.0	visual_speech_real_long_high_complex
393.5	4.0	visual_speech_real_long_low_complex
399.0	4.0	visual_speech_pseudo_short_simple
405.0	4.0	visual_speech_real_long_high_simple
